project,vuln_commit,fix_commit,cve,cwe
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,CVE-2021-38171,CWE-252
FFmpeg,10d821309b02014d7663b63635ff2a3294382558,0a709e2a10b8288a0cc383547924ecfe285cef89,CVE-2017-9608,CWE-476
FFmpeg,6d77a3ff3cd8360874d6f1787c482e09c5239511,31c1c0b46a7021802c3d1d18039fca30dba5a14e,CVE-2017-9608,CWE-476
FFmpeg,b52b398c30a729dda38c0dd5a0cdeef160c4ca54,611b35627488a8d0763e75c25ee0875c5b7987dd,CVE-2017-9608,CWE-476
FFmpeg,c8b1f2bcc4767b3ab59c40c32620b2e467a6ae8d,7150f9575671f898382c370acae35f9087a30ba1,CVE-2013-0868,CWE-119
FFmpeg,437b7302b09a04e0fbfcd594114b52c5c6d89d32,27a99e2c7d450fef15594671eef4465c8a166bd7,CVE-2020-35964,CWE-787
FFmpeg,1278f117d75ab9238ef181ba29b31c6ea569571b,3e5959b3457f7f1856d997261e6ac672bba49e8b,CVE-2020-35965,CWE-787
FFmpeg,48342aa0750f83006582d1598b5f22297f6dbf83,26d3c81bc5ef2f8c3f09d45eaeacfb4b1139a777,CVE-2021-33815,CWE-20
FFmpeg,449bdf05f8843c675e96daa04ecf08f1a013fbd9,6959358683c7533f586c07a766acc5fe9544d8b2,CVE-2020-13904,CWE-416
FFmpeg,8640db14e70fa7f52397dbb6e54a62e5e1f0d2c2,a3a3730b5456ca00587455004d40c047f7b20a99,CVE-2020-12284,CWE-787
FFmpeg,e708424b70bef8641e8a090ec4d9e8c4490db87e,8a3b85f3a7952c54a2c36ba1797f7e0cde9f85aa,,CWE-703
FFmpeg,ced0dc807eb67516b341d68f04ce5a87b02820de,c953baa084607dd1d84c3bfcce3cf6a87c3e6e05,CVE-2022-2566,CWE-703
FFmpeg,c57fc97e956a52edc94a38ff0ecd3058b44c15b7,61d59703c91869f4e5cdacd8d6be52f8b89d4ba4,,CWE-703
