project,vuln_commit,fix_commit,cve,cwe
admesh,8ec09d23869d8931866a6879a31d999ea7a928cc,e84d8353f1347e1f26f0a95770d92ba14e6ede38,CVE-2018-25033,CWE-125
asylo,116b5aba9142558025b48b2c0e648bb765a557f8,a37fb6a0e7daf30134dbbf357c9a518a1026aa02,CVE-2020-8937,CWE-787
asylo,fa6485c5d16a7355eab047d4a44345a73bc9131e,ed0926bff0e423cd122a18b3d2fc772817f66825,CVE-2020-8935,CWE-295
asylo,ed0926bff0e423cd122a18b3d2fc772817f66825,83036fd841d33baa7e039f842d131aa7881fdcc2,CVE-2020-8936,CWE-125
asylo,b0413b7e1babb149a0467b924437b7cdc5313e57,90d7619e9dd99bcdb6cd28c7649d741d254d9a1a,CVE-2021-22552,CWE-125
asylo,bda9772e7872b0d2b9bee32930cf7a4983837b39,6ff3b77ffe110a33a2f93848a6333f33616f02c4,CVE-2020-8939,CWE-125
asylo,6c407852ce7a71ca48634ecc4d35a7abbbde6b3b,6e158d558abd3c29a0208e30c97c9a8c5bd4230f,CVE-2020-8943,CWE-125
asylo,83036fd841d33baa7e039f842d131aa7881fdcc2,bda9772e7872b0d2b9bee32930cf7a4983837b39,CVE-2020-8938,CWE-787
asylo,808125885af1a8e211739bc84a9f8525e157d72a,a47ef55db2337d29de19c50cd29b0deb2871d31c,CVE-2021-22550,CWE-200
asylo,e95fc9eddd497bdb2e08a1d9eff2f2bb008387e2,ecfcd0008b6f8f63c6fa3cc1b62fcd4a52f2c0ad,CVE-2021-22549,CWE-200
asylo,c712eb94951a20b2f2559baf43d19b7ebaf282ab,382da2b8b09cbf928668a2445efb778f76bd9c8a,CVE-2020-8944,CWE-787
asylo,e73373f00ab2d85294cbb47898028577c1080c3e,53ed5d8fd8118ced1466e509606dd2f473707a5c,CVE-2021-22548,CWE-788
atomicparsley,020176f688d9efec68f1ce1b100e052bff1cfc2e,d72ccf06c98259d7261e0f3ac4fd8717778782c1,CVE-2021-37232,CWE-787
autotrace,b4affb90ffba014149a481f3d7cb431dd7d58af1,e96bffadc25ff0ba0e10745f8012efcc5f920ea9,CVE-2022-32323,CWE-787
barebox,610db8d457fe7f479e93fb4d88e869792133f9d5,0a9f9a7410681e55362f8311537ebc7be9ad0fbe,CVE-2021-37847,CWE-200
barebox,0a9f9a7410681e55362f8311537ebc7be9ad0fbe,a3337563c705bc8e0cf32f910b3e9e3c43d962ff,CVE-2021-37848,CWE-200
bash,602eae4d6bea77bc912f037b120c9251f7d04e63,951bdaad7a18cc0dc1036bba86b18b90874d39ff,CVE-2019-18276,CWE-787
bash,1f6ec1a86f688bb09a79232b6fb4a30a19ae71b2,863d31ae775d56b785dc5b0105b6d251515d81d5,CVE-2012-6711,CWE-119
bdwgc,846d937b4a3d558307dfa4764df67ca5c093c8fb,4e1a6f9d8f2a49403bbd00b8c8e5324048fb84d4,CVE-2016-9427,CWE-119
booth,d0ac26cc0c2fb4069c2d095cc0bbe3f94f02c05e,35bf0b7b048d715f671eb68974fb6b4af6528c67,CVE-2022-2553,CWE-284
bootstrap-dht,bbc0b7191e3f48461ca6e5b1b34bdf4b3f1e79a9,e809ea80e3527e32c40756eddd8b2ae44bc3af1a,CVE-2015-5685,CWE-20
bubblewrap,a10af855abdd444df5e464187c15e1c81fa18d4d,d7fc532c42f0e9bf427923bab85433282b3e5117,CVE-2017-5226,CWE-20
busybox,9f3b410006956c59896034bb790b20e655f8b4cb,45fa3f18adf57ef9d743038743d9c90573aeeb91,CVE-2018-1000500,CWE-295
bzip2,5381b4f2f86db54e4683f2f2b8507786be918a85,74de1e2e6ffc9d51ef9824db71a8ffee5962cdbc,CVE-2019-12900,CWE-787
