project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-adx,3.8294,2.9906,744892160,2.2582,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-adx,libavformat/adtsenc.c,3.8767,2.9456,741551856,2.2825
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-adx-trellis,4.9294,3.9737,1062175851,2.0345,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-adx-trellis,libavformat/adtsenc.c,3.8665,2.9382,732272536,2.2930
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-argo,4.9431,3.8623,1055752159,2.3201,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-argo,libavformat/adtsenc.c,5.4733,4.2383,1131785404,2.2601
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_alp,3.9350,2.9961,775164104,2.2146,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_alp,libavformat/adtsenc.c,3.6789,2.8028,707990799,2.3217
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_apm,4.0500,3.0876,790377747,2.2011,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_apm,libavformat/adtsenc.c,3.7822,2.8844,715653240,2.3093
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_qt,4.1063,3.1825,792349434,2.2512,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_qt,libavformat/adtsenc.c,4.1537,3.1431,776233981,2.2943
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_qt-trellis,11.2467,9.1300,2467522954,2.1986,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_qt-trellis,libavformat/adtsenc.c,11.4917,9.1067,2456592446,2.2140
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_ssi,3.7718,2.9400,739048219,2.2533,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_ssi,libavformat/adtsenc.c,3.7700,2.8694,716898513,2.3180
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_wav,3.9678,3.0222,791970618,2.2138,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_wav,libavformat/adtsenc.c,3.7817,2.8767,723960501,2.2987
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_wav-trellis,11.0750,8.9150,2502394984,2.1418,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_wav-trellis,libavformat/adtsenc.c,13.4683,10.6517,2934595699,1.9582
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_ws,3.7278,2.8994,730087015,2.2656,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_ws,libavformat/adtsenc.c,3.7667,2.8567,714810407,2.3157
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ms,3.7461,2.9200,719674574,2.2827,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ms,libavformat/adtsenc.c,3.7294,2.8328,713662826,2.3107
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ms-trellis,8.9962,7.3087,1947015891,2.3632,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ms-trellis,libavformat/adtsenc.c,9.8050,7.6650,2003743259,2.3200
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-swf,3.7650,2.9294,738045961,2.3004,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-swf,libavformat/adtsenc.c,3.7522,2.8539,716791612,2.3302
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-swf-trellis,11.2967,9.1550,2517606855,2.1396,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-swf-trellis,libavformat/adtsenc.c,11.5467,9.1433,2477734209,2.1554
