project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-adx,3.6964,2.8645,721706965,2.3045,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-adx,libavformat/adtsenc.c,3.7445,2.9127,741553224,2.2968
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-adx-trellis,4.1791,3.1482,788780190,2.1778,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-adx-trellis,libavformat/adtsenc.c,3.7273,2.8936,738507926,2.2853
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-argo,4.7767,3.7233,1037312984,2.3677,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-argo,libavformat/adtsenc.c,4.7778,3.7311,1037564608,2.3479
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_alp,3.5825,2.7683,693478622,2.3181,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_alp,libavformat/adtsenc.c,3.6891,2.8609,712967673,2.2822
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_apm,3.6367,2.8250,712457198,2.3052,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_apm,libavformat/adtsenc.c,3.6783,2.8575,717474782,2.2848
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_qt,3.9818,3.0718,769459367,2.2975,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_qt,libavformat/adtsenc.c,3.9836,3.0873,771984386,2.3050
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_qt-trellis,11.3050,9.1900,2481212804,2.1956,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_qt-trellis,libavformat/adtsenc.c,11.1300,9.0550,2424174835,2.2136
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_ssi,3.6442,2.8292,720571014,2.3082,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_ssi,libavformat/adtsenc.c,3.6317,2.8242,718872449,2.3060
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_wav,3.6625,2.8358,713905096,2.2802,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_wav,libavformat/adtsenc.c,3.6775,2.8525,719284861,2.2911
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_wav-trellis,11.0950,8.9700,2480019369,2.1479,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_wav-trellis,libavformat/adtsenc.c,11.0350,8.9450,2446417198,2.1612
