project,vuln_commit,v_testname,fix_commit,f_testname,sourcefile
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-adx,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-adx,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-adx-trellis,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-adx-trellis,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-argo,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-argo,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_alp,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_alp,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_apm,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_apm,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_qt,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_qt,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_qt-trellis,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_qt-trellis,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_ssi,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_ssi,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_wav,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_wav,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_wav-trellis,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_wav-trellis,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ima_ws,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ima_ws,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ms,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ms,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-ms-trellis,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-ms-trellis,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-swf,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-swf,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-swf-trellis,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-swf-trellis,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-swf-wav,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-swf-wav,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-yamaha,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-yamaha,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-adpcm-yamaha-trellis,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-adpcm-yamaha-trellis,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-alac,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-alac,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-dca,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-dca,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-dca2,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-dca2,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-flac,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-flac,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-flac-exact-rice,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-flac-exact-rice,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-g723_1,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-g723_1,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-mp2,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-mp2,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-mp2fixed,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-mp2fixed,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-alaw,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-alaw,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-f32be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-f32be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-f32le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-f32le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-f64be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-f64be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-f64le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-f64le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-mulaw,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-mulaw,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s16be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s16be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s16be_planar,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s16be_planar,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s16le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s16le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s16le_planar,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s16le_planar,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s24be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s24be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s24le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s24le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s24le_planar,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s24le_planar,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s32be,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s32be,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s32le,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s32le,libavformat/adtsenc.c
FFmpeg,89505d38de989bddd579ce3b841f1c011f1d7bf2,fate-acodec-pcm-s32le_planar,9ffa49496d1aae4cbbb387aac28a9e061a6ab0a6,fate-acodec-pcm-s32le_planar,libavformat/adtsenc.c
