project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_sanity,4.2543,3.1136,1061111640,1.7275,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_sanity,crypto/evp/e_chacha20_poly1305.c,4.3507,3.3214,1052904633,1.7477
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_test,4.5000,3.3964,1093637608,1.7207,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_test,crypto/evp/e_chacha20_poly1305.c,4.4607,3.3864,1088718001,1.7200
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_errstr,10.8500,7.3120,2982528576,1.2440,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_errstr,crypto/evp/e_chacha20_poly1305.c,10.5260,7.1600,2947349036,1.2461
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_ctype,4.3864,3.3357,1055775917,1.7451,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_ctype,crypto/evp/e_chacha20_poly1305.c,4.3293,3.2964,1057667295,1.7450
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_lhash,9.1100,6.5686,2251395477,2.0348,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_lhash,crypto/evp/e_chacha20_poly1305.c,10.0814,7.6514,2343941606,1.9526
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_stack,4.3533,3.3120,1046097804,1.7498,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_stack,crypto/evp/e_chacha20_poly1305.c,4.3347,3.2927,1047548390,1.7487
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_exdata,4.2686,3.1236,1070407994,1.7279,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_exdata,crypto/evp/e_chacha20_poly1305.c,4.3580,3.3320,1051026405,1.7514
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_asn1,4.0186,2.8936,1010966511,1.8078,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_asn1,crypto/evp/e_chacha20_poly1305.c,4.4033,3.3547,1063194882,1.7424
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_chacha,4.4264,3.3371,1086521262,1.7488,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_chacha,crypto/evp/e_chacha20_poly1305.c,4.3400,3.2914,1055002390,1.7571
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_curve448,8.9183,6.5017,2328981051,3.6028,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_curve448,crypto/evp/e_chacha20_poly1305.c,9.6271,7.5129,2313630922,3.6274
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_ec,4.3679,3.1900,1093135476,1.7354,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_ec,crypto/evp/e_chacha20_poly1305.c,4.4246,3.3500,1084147559,1.7478
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_mdc2,4.3407,3.2936,1058071044,1.7391,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_mdc2,crypto/evp/e_chacha20_poly1305.c,4.3086,3.2886,1033832401,1.7680
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_modes,4.3800,3.3407,1053363159,1.7490,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_modes,crypto/evp/e_chacha20_poly1305.c,4.3386,3.3207,1046757456,1.7597
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_poly1305,4.5693,3.4950,1140465551,1.6973,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_poly1305,crypto/evp/e_chacha20_poly1305.c,4.3693,3.3487,1086409759,1.7418
openssl,c9a826d28f8211e86b3b866809e1b30a2de48740,test_internal_siphash,4.3453,3.2860,1041250459,1.7557,f426625b6ae9a7831010750490a5f0ad689c5ba3,test_internal_siphash,crypto/evp/e_chacha20_poly1305.c,4.2847,3.2727,1032636456,1.7701
