project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
openssl,cce3e4adb78a8d3eeb6e0e4efe332fcc5d75f615,ssltest,0,0,0,0,939b4960276b040fc0ed52232238fcc9e2e9ec21,ssltest,ssl/ssl_sess.c,0,0,0,0
openssl,cce3e4adb78a8d3eeb6e0e4efe332fcc5d75f615,ssltest,0,0,0,0,939b4960276b040fc0ed52232238fcc9e2e9ec21,ssltest,ssl/ssl_err.c,0,0,0,0
openssl,cce3e4adb78a8d3eeb6e0e4efe332fcc5d75f615,ssltest,0,0,0,0,939b4960276b040fc0ed52232238fcc9e2e9ec21,ssltest,ssl/s3_clnt.c,0,0,0,0
openssl,2ec4181ba92fc6b828687d2dc47c13dcd35a5d93,ssltest,0,0,0,0,ca989269a2876bae79393bd54c3e72d49975fc75,ssltest,ssl/s3_lib.c,0,0,0,0
openssl,fb4f46763fed3c600db21974577061b611b6fa46,asn1test,0.0045,0.0031,128467,0.9767,cc598f321fbac9c04da5766243ed55d55948637d,asn1test,crypto/asn1/tasn_dec.c,0.0046,0.0032,143801,1.0455
openssl,fb4f46763fed3c600db21974577061b611b6fa46,bntest,15.1200,11.8000,3511257714,2.2429,cc598f321fbac9c04da5766243ed55d55948637d,bntest,crypto/asn1/tasn_dec.c,14.3767,11.2733,3431498908,2.2986
openssl,fb4f46763fed3c600db21974577061b611b6fa46,clienthellotest,0.0306,0.0207,1685882,1.6168,cc598f321fbac9c04da5766243ed55d55948637d,clienthellotest,crypto/asn1/tasn_dec.c,0.0264,0.0180,1409859,1.7926
openssl,fb4f46763fed3c600db21974577061b611b6fa46,dhtest,0.8542,0.6870,189401334,1.7009,cc598f321fbac9c04da5766243ed55d55948637d,dhtest,crypto/asn1/tasn_dec.c,0.6493,0.5089,139131747,1.2462
openssl,fb4f46763fed3c600db21974577061b611b6fa46,dsatest,1.6208,1.2628,333352761,1.1378,cc598f321fbac9c04da5766243ed55d55948637d,dsatest,crypto/asn1/tasn_dec.c,1.5152,1.1896,338469345,1.1753
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ecdhtest,4.1818,3.2891,952690213,2.6831,cc598f321fbac9c04da5766243ed55d55948637d,ecdhtest,crypto/asn1/tasn_dec.c,4.1350,3.2560,953073958,2.6834
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ecdsatest,27.5700,21.3850,6571004605,2.8138,cc598f321fbac9c04da5766243ed55d55948637d,ecdsatest,crypto/asn1/tasn_dec.c,27.5250,21.3700,6527282350,2.8128
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ectest,33.1350,25.4350,8245182543,3.1274,cc598f321fbac9c04da5766243ed55d55948637d,ectest,crypto/asn1/tasn_dec.c,28.6900,22.5050,6871067470,3.3696
openssl,fb4f46763fed3c600db21974577061b611b6fa46,enginetest,0.0622,0.0427,4532382,1.8957,cc598f321fbac9c04da5766243ed55d55948637d,enginetest,crypto/asn1/tasn_dec.c,0.0576,0.0395,3914905,2.0209
openssl,fb4f46763fed3c600db21974577061b611b6fa46,evp_extra_test,0.1146,0.0832,15179540,1.4317,cc598f321fbac9c04da5766243ed55d55948637d,evp_extra_test,crypto/asn1/tasn_dec.c,0.1100,0.0806,14857440,1.5215
openssl,fb4f46763fed3c600db21974577061b611b6fa46,evp_test,0,0,0,0,cc598f321fbac9c04da5766243ed55d55948637d,evp_test,crypto/asn1/tasn_dec.c,0,0,0,0
openssl,fb4f46763fed3c600db21974577061b611b6fa46,exptest,10.9750,8.6400,2510477032,1.3619,cc598f321fbac9c04da5766243ed55d55948637d,exptest,crypto/asn1/tasn_dec.c,10.3900,8.1275,2394230878,1.3664
openssl,fb4f46763fed3c600db21974577061b611b6fa46,hmactest,0.0069,0.0046,248381,0.9240,cc598f321fbac9c04da5766243ed55d55948637d,hmactest,crypto/asn1/tasn_dec.c,0.0059,0.0040,141112,1.0176
openssl,fb4f46763fed3c600db21974577061b611b6fa46,igetest,0.0311,0.0227,2780174,2.3408,cc598f321fbac9c04da5766243ed55d55948637d,igetest,crypto/asn1/tasn_dec.c,0.0213,0.0146,900018,2.9442
openssl,fb4f46763fed3c600db21974577061b611b6fa46,md4test,0.0058,0.0039,181556,0.8405,cc598f321fbac9c04da5766243ed55d55948637d,md4test,crypto/asn1/tasn_dec.c,0.0057,0.0039,150755,1.0738
openssl,fb4f46763fed3c600db21974577061b611b6fa46,md5test,0.0124,0.0098,1769839,1.8079,cc598f321fbac9c04da5766243ed55d55948637d,md5test,crypto/asn1/tasn_dec.c,0.0053,0.0035,107523,1.0438
openssl,fb4f46763fed3c600db21974577061b611b6fa46,mdc2test,0.0062,0.0042,264111,0.5922,cc598f321fbac9c04da5766243ed55d55948637d,mdc2test,crypto/asn1/tasn_dec.c,0.0054,0.0037,189831,1.0121
openssl,fb4f46763fed3c600db21974577061b611b6fa46,randtest,0.0120,0.0081,544717,1.0522,cc598f321fbac9c04da5766243ed55d55948637d,randtest,crypto/asn1/tasn_dec.c,0.0103,0.0070,319941,1.2304
openssl,fb4f46763fed3c600db21974577061b611b6fa46,rmdtest,0.0057,0.0038,148315,0.9964,cc598f321fbac9c04da5766243ed55d55948637d,rmdtest,crypto/asn1/tasn_dec.c,0.0056,0.0038,140660,1.0106
openssl,fb4f46763fed3c600db21974577061b611b6fa46,rsa_test,28.2250,22.3050,6577693694,1.1853,cc598f321fbac9c04da5766243ed55d55948637d,rsa_test,crypto/asn1/tasn_dec.c,28.7700,22.8450,6580140224,1.1851
openssl,fb4f46763fed3c600db21974577061b611b6fa46,sha1test,0.0495,0.0365,4527640,3.1620,cc598f321fbac9c04da5766243ed55d55948637d,sha1test,crypto/asn1/tasn_dec.c,0.0327,0.0224,2112295,3.4198
openssl,fb4f46763fed3c600db21974577061b611b6fa46,shatest,0.0336,0.0227,2084165,3.2400,cc598f321fbac9c04da5766243ed55d55948637d,shatest,crypto/asn1/tasn_dec.c,0.0313,0.0213,1998990,3.5128
openssl,fb4f46763fed3c600db21974577061b611b6fa46,srptest,0.5560,0.4320,108498999,1.2397,cc598f321fbac9c04da5766243ed55d55948637d,srptest,crypto/asn1/tasn_dec.c,0.4677,0.3661,95072295,1.1884
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ssltest,0,0,0,0,cc598f321fbac9c04da5766243ed55d55948637d,ssltest,crypto/asn1/tasn_dec.c,0,0,0,0
openssl,fb4f46763fed3c600db21974577061b611b6fa46,v3nametest,0.3482,0.2703,68515339,3.2051,cc598f321fbac9c04da5766243ed55d55948637d,v3nametest,crypto/asn1/tasn_dec.c,0.3528,0.2751,69616113,3.1483
openssl,fb4f46763fed3c600db21974577061b611b6fa46,verify_extra_test,0,0,0,0,cc598f321fbac9c04da5766243ed55d55948637d,verify_extra_test,crypto/asn1/tasn_dec.c,0,0,0,0
