project,vuln_commit,v_testname,fix_commit,f_testname,sourcefile
openssl,cce3e4adb78a8d3eeb6e0e4efe332fcc5d75f615,ssltest,939b4960276b040fc0ed52232238fcc9e2e9ec21,ssltest,ssl/ssl_sess.c
openssl,cce3e4adb78a8d3eeb6e0e4efe332fcc5d75f615,ssltest,939b4960276b040fc0ed52232238fcc9e2e9ec21,ssltest,ssl/ssl_err.c
openssl,cce3e4adb78a8d3eeb6e0e4efe332fcc5d75f615,ssltest,939b4960276b040fc0ed52232238fcc9e2e9ec21,ssltest,ssl/s3_clnt.c
openssl,2ec4181ba92fc6b828687d2dc47c13dcd35a5d93,ssltest,ca989269a2876bae79393bd54c3e72d49975fc75,ssltest,ssl/s3_lib.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,asn1test,cc598f321fbac9c04da5766243ed55d55948637d,asn1test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,bntest,cc598f321fbac9c04da5766243ed55d55948637d,bntest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,clienthellotest,cc598f321fbac9c04da5766243ed55d55948637d,clienthellotest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,dhtest,cc598f321fbac9c04da5766243ed55d55948637d,dhtest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,dsatest,cc598f321fbac9c04da5766243ed55d55948637d,dsatest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ecdhtest,cc598f321fbac9c04da5766243ed55d55948637d,ecdhtest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ecdsatest,cc598f321fbac9c04da5766243ed55d55948637d,ecdsatest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ectest,cc598f321fbac9c04da5766243ed55d55948637d,ectest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,enginetest,cc598f321fbac9c04da5766243ed55d55948637d,enginetest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,evp_extra_test,cc598f321fbac9c04da5766243ed55d55948637d,evp_extra_test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,evp_test,cc598f321fbac9c04da5766243ed55d55948637d,evp_test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,exptest,cc598f321fbac9c04da5766243ed55d55948637d,exptest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,hmactest,cc598f321fbac9c04da5766243ed55d55948637d,hmactest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,igetest,cc598f321fbac9c04da5766243ed55d55948637d,igetest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,md4test,cc598f321fbac9c04da5766243ed55d55948637d,md4test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,md5test,cc598f321fbac9c04da5766243ed55d55948637d,md5test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,mdc2test,cc598f321fbac9c04da5766243ed55d55948637d,mdc2test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,randtest,cc598f321fbac9c04da5766243ed55d55948637d,randtest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,rmdtest,cc598f321fbac9c04da5766243ed55d55948637d,rmdtest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,rsa_test,cc598f321fbac9c04da5766243ed55d55948637d,rsa_test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,sha1test,cc598f321fbac9c04da5766243ed55d55948637d,sha1test,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,shatest,cc598f321fbac9c04da5766243ed55d55948637d,shatest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,srptest,cc598f321fbac9c04da5766243ed55d55948637d,srptest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,ssltest,cc598f321fbac9c04da5766243ed55d55948637d,ssltest,crypto/asn1/tasn_dec.c
openssl,fb4f46763fed3c600db21974577061b611b6fa46,v3nametest,cc598f321fbac9c04da5766243ed55d55948637d,v3nametest,crypto/asn1/tasn_dec.c
