project,build_type
acpica,LEGACY_MAKE
admesh,MODERN_CMAKE
advancecomp,LEGACY_AUTOTOOLS
aircrack-ng,LEGACY_MAKE
aspell,LEGACY_AUTOTOOLS
asylo,UNKNOWN
at-spi2-core,LEGACY_AUTOTOOLS
atomicparsley,MODERN_CMAKE
atril,LEGACY_AUTOTOOLS
aubio,LEGACY_MAKE
audiofile,LEGACY_AUTOTOOLS
augeas,LEGACY_AUTOTOOLS
autotrace,LEGACY_AUTOTOOLS
barebox,LEGACY_MAKE
bash,LEGACY_AUTOTOOLS
bdwgc,MODERN_CMAKE
bitlbee,LEGACY_AUTOTOOLS
bluez,LEGACY_AUTOTOOLS
booth,LEGACY_AUTOTOOLS
bro,MODERN_CMAKE
bubblewrap,LEGACY_AUTOTOOLS
c-ares,MODERN_CMAKE
c-blosc2,MODERN_CMAKE
cairo,LEGACY_AUTOTOOLS
capstone,MODERN_CMAKE
cbang,UNKNOWN
cgit,LEGACY_MAKE
cgminer,LEGACY_AUTOTOOLS
cJSON,MODERN_CMAKE
clamav-devel,LEGACY_AUTOTOOLS
clutter,LEGACY_AUTOTOOLS
connman,LEGACY_AUTOTOOLS
contiki-ng,UNKNOWN
corosync,LEGACY_AUTOTOOLS
cortx-s3server,UNKNOWN
cpp-peglib,MODERN_CMAKE
Crow,MODERN_CMAKE
crun,LEGACY_AUTOTOOLS
cryptsetup,LEGACY_AUTOTOOLS
csync2,LEGACY_AUTOTOOLS
curl,MODERN_CMAKE
cxxtools,LEGACY_AUTOTOOLS
cyrus-sasl,LEGACY_AUTOTOOLS
date,UNKNOWN
detect-character-encoding,UNKNOWN
domoticz,MODERN_CMAKE
edgeless-mariadb,MODERN_CMAKE
edk2,UNKNOWN
empathy,LEGACY_AUTOTOOLS
engine,MODERN_CMAKE
envoy,UNKNOWN
epiphany,LEGACY_AUTOTOOLS
Espruino,LEGACY_MAKE
EternalTerminal,MODERN_CMAKE
ettercap,MODERN_CMAKE
evolution,MODERN_CMAKE
evolution-data-server,LEGACY_AUTOTOOLS
