project,vuln_commit,v_testname,v_energy_pkg,v_energy_core,v_cycles,v_ipc,fix_commit,f_testname,sourcefile,f_energy_pkg,f_energy_core,f_cycles,f_ipc
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,print-x,0.2448,0.1527,9010579,0.8592,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,print-x,print-rt6.c,0.2159,0.1261,4702133,0.8911
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,print-xx,0.2306,0.1372,5257257,0.8362,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,print-xx,print-rt6.c,0.2257,0.1332,5038337,0.8341
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,print-X,0.2554,0.1587,8728797,0.8959,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,print-X,print-rt6.c,0.2304,0.1365,5256169,0.8993
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,print-XX,0.2372,0.1402,4913273,0.7954,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,print-XX,print-rt6.c,0.2403,0.1431,5470141,0.9092
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,print-A,0.2518,0.1519,5894707,0.8618,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,print-A,print-rt6.c,0.2378,0.1403,4801836,0.8360
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,print-AA,0.2846,0.1813,14849401,1.3304,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,print-AA,print-rt6.c,0.2513,0.1511,5824013,0.9383
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,bgp_vpn_attrset,0.2749,0.1696,7119010,0.8245,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,bgp_vpn_attrset,print-rt6.c,0.2580,0.1565,6171757,0.8958
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,mpbgp-linklocal-nexthop,0.2854,0.1777,9876433,0.8645,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,mpbgp-linklocal-nexthop,print-rt6.c,0.2582,0.1542,5351159,0.7630
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,bgp_infloop-v,0.3224,0.2100,16891964,1.0867,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,bgp_infloop-v,print-rt6.c,0.2675,0.1610,5417433,0.7927
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,bgp-aigp,0.2703,0.1616,5154182,0.7897,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,bgp-aigp,print-rt6.c,0.3097,0.1959,12603025,0.9761
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,bgp-large-community,0.3123,0.1960,11320471,0.7938,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,bgp-large-community,print-rt6.c,0.2747,0.1642,5743027,0.7853
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,bgp-shutdown-communication,0.2857,0.1719,6185335,0.8018,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,bgp-shutdown-communication,print-rt6.c,0.2915,0.1767,6643129,0.8250
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,eapon1,0.3049,0.1859,7212082,0.8189,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,eapon1,print-rt6.c,0.2872,0.1705,5267466,0.7960
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,esp0,0.3639,0.2377,18878715,1.1115,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,esp0,print-rt6.c,0.2938,0.1759,6077565,0.7999
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isakmp1,0.3256,0.2001,8500680,0.7254,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isakmp1,print-rt6.c,0.3093,0.1873,6014608,0.7932
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isakmp2,0.3156,0.1906,6735612,0.7850,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isakmp2,print-rt6.c,0.3147,0.1912,7707518,0.8745
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isakmp3,0.3114,0.1868,6160759,0.7905,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isakmp3,print-rt6.c,0.3136,0.1882,6568613,0.8287
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,isakmp5-v,0.3216,0.1932,6667392,0.8152,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,isakmp5-v,print-rt6.c,0.3235,0.1945,5998753,0.7984
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,lmp,0.3286,0.1986,7079367,0.8305,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,lmp,print-rt6.c,0.3256,0.1943,5937598,0.7964
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,mpls-ldp-hello,0.4179,0.2752,21271321,1.1075,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,mpls-ldp-hello,print-rt6.c,0.3383,0.2049,8201312,0.7803
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,ldp_infloop,0.3424,0.2064,7030459,0.8372,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,ldp_infloop,print-rt6.c,0.3469,0.2102,7653197,0.8098
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,lspping-fec-ldp,0.4204,0.2724,18615265,1.0634,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,lspping-fec-ldp,print-rt6.c,0.3710,0.2303,10597758,1.0083
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,lspping-fec-ldp-v,0.3516,0.2100,6542042,0.7997,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,lspping-fec-ldp-v,print-rt6.c,0.3542,0.2139,7369525,0.8249
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,lspping-fec-ldp-vv,0.4063,0.2549,13858842,0.8937,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,lspping-fec-ldp-vv,print-rt6.c,0.3637,0.2200,8646321,0.8385
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,lspping-fec-rsvp,0.4207,0.2676,15018529,0.9100,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,lspping-fec-rsvp,print-rt6.c,0.3682,0.2223,7862118,0.8449
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,lspping-fec-rsvp-v,0.4484,0.2880,16872333,0.8869,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,lspping-fec-rsvp-v,print-rt6.c,0.3703,0.2234,7243113,0.8107
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,lspping-fec-rsvp-vv,0.3986,0.2440,10976978,0.8112,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,lspping-fec-rsvp-vv,print-rt6.c,0.3778,0.2287,8588079,0.8555
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,mpls-traceroute,0.3841,0.2326,7476042,0.7979,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,mpls-traceroute,print-rt6.c,0.3912,0.2364,7536567,0.8111
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,mpls-traceroute-v,0.3935,0.2379,7900153,0.8709,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,mpls-traceroute-v,print-rt6.c,0.3888,0.2341,7594709,0.8424
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,ospf-gmpls,0.4174,0.2593,11411576,0.9450,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,ospf-gmpls,print-rt6.c,0.4227,0.2623,11941540,0.8391
tcpdump,66df248b49095c261138b5a5e34d341a6bf9ac7f,ospf3_ah-vv,0.4537,0.2844,16004231,0.9527,3c4d7c0ee30a30e5abff3d6d9586a3753101faf5,ospf3_ah-vv,print-rt6.c,0.4151,0.2525,9254833,0.9398
